event number,district,time received,shift,time dispatched,time arrived,callcode,call code description,call type,priority,unit id,is primary,address,city,latitude,longitude,geo count,geo error
16-000002,E,1/1/16 0:00,1,1/1/16 0:02,1/1/16 0:15,C31.00,BURG ALARM COMMERCIAL PROP; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,4,E501,TRUE,301 16TH ST;  ,JERSEY CITY,40.73345947,-74.04602814,1,S5HPNTSCZA
16-010699,N,1/15/16 12:56,2,1/15/16 12:57,1/15/16 13:04,D11.00,MOTOR VEHICLE ACCIDENT; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,3,N102,TRUE,CHARLOTTE (CHARLOTTE CIR) & NEWARK AVE;  ,JERSEY CITY,0,0,0,NOT FOUND
16-010700,N,1/15/16 12:56,2,1/15/16 12:59,1/15/16 13:11,D11.00,MOTOR VEHICLE ACCIDENT; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,911,2,NK98E,FALSE,TONNELE AVE & MANHATTAN AVE;  ,JERSEY CITY,40.74695969,-74.06175995,2,SX
16-010700,N,1/15/16 12:56,2,1/15/16 12:59,1/15/16 13:11,D11.00,MOTOR VEHICLE ACCIDENT; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,911,2,N402,TRUE,TONNELE AVE & MANHATTAN AVE;  ,JERSEY CITY,40.74695969,-74.06175995,2,SX
16-010703,N,1/15/16 13:00,2,1/15/16 13:01,1/15/16 14:00,D11.00,MOTOR VEHICLE ACCIDENT; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,3,N502,TRUE,276 TONNELE AVE;  ,JERSEY CITY,40.73993683,-74.06467438,1,S5HPNTSCZA
16-010705,N,1/15/16 13:02,2,1/15/16 13:02,1/15/16 13:02,F16.00,SUSPICIOUS PERSON/CONDITION; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,3,NBUR,TRUE,CHESTNUT AVE & HENRY ST;  ,JERSEY CITY,40.72867966,-74.05767822,2,SX
16-010706,W,1/15/16 13:05,2,1/15/16 13:07,1/1/01 0:00,F16.00,SUSPICIOUS PERSON/CONDITION; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,3,W602,TRUE,MALLERY AVE (MALLORY AVE) & BOYD AVE;  ,JERSEY CITY,40.71923065,-74.08843231,1,SX
16-010708,W,1/15/16 13:07,2,1/15/16 13:08,1/15/16 14:12,B12.00,INTERFERE W/ CUSTODY; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,911,2,W302,FALSE,MALLERY AVE (MALLORY AVE) & UNION ST;  ,JERSEY CITY,40.72034836,-74.08737183,1,SX
16-010708,W,1/15/16 13:07,2,1/15/16 13:08,1/15/16 14:12,B12.00,INTERFERE W/ CUSTODY; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,911,2,W602,TRUE,MALLERY AVE (MALLORY AVE) & UNION ST;  ,JERSEY CITY,40.72034836,-74.08737183,1,SX
16-010715,E,1/15/16 13:22,2,1/15/16 13:26,1/15/16 13:29,D11.00,MOTOR VEHICLE ACCIDENT; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,3,E202,TRUE,182 MORGAN ST;  ,JERSEY CITY,40.72014618,-74.04136658,1,S5HPNTSCZA
16-010716,W,1/15/16 13:22,2,1/15/16 13:23,1/15/16 13:34,D11.00,MOTOR VEHICLE ACCIDENT; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,3,W302,TRUE,COMMUNIPAW AVE & WEST SIDE AVE;  ,JERSEY CITY,40.7208786,-74.08135986,1,SX
16-010717,W,1/15/16 13:29,2,1/15/16 13:29,1/15/16 13:29,J14.00,MEAL; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,9,W602,TRUE,1 JACKSON AVE;  ,JERSEY CITY,40.71671677,-74.07403564,1,S5HPNTSC-A
16-010720,S,1/15/16 13:33,2,1/15/16 13:35,1/15/16 14:09,C18.00,BURGLARY RESIDENTIAL PROP; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,6,S402,TRUE,160 OLD BERGEN RD;  ,JERSEY CITY,40.69481277,-74.09445953,1,S5HPNTSCZA
16-010721,N,1/15/16 13:35,2,1/15/16 13:35,1/15/16 13:35,J14.00,MEAL; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,9,N202,FALSE,28 CENTRAL AVE;  ,JERSEY CITY,40.73529434,-74.05643463,1,S5HPNTSCZA
16-010721,N,1/15/16 13:35,2,1/15/16 13:35,1/15/16 13:35,J14.00,MEAL; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,9,NP27,TRUE,28 CENTRAL AVE;  ,JERSEY CITY,40.73529434,-74.05643463,1,S5HPNTSCZA
16-010722,E,1/15/16 13:35,2,1/15/16 13:41,1/15/16 13:47,B17.20,NEIGHBOR DISPUTE; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE,911,2,E602,FALSE,289 BARROW ST; UNC:5 (% FL),JERSEY CITY,40.71878052,-74.04595947,1,S5HPNTSCZA
16-010722,E,1/15/16 13:35,2,1/15/16 13:41,1/15/16 13:47,B17.20,NEIGHBOR DISPUTE; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE,911,2,E402,FALSE,289 BARROW ST; UNC:5 (% FL),JERSEY CITY,40.71878052,-74.04595947,1,S5HPNTSCZA
16-010722,E,1/15/16 13:35,2,1/15/16 13:41,1/15/16 13:47,B17.20,NEIGHBOR DISPUTE; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE,911,2,E202,TRUE,289 BARROW ST; UNC:5 (% FL),JERSEY CITY,40.71878052,-74.04595947,1,S5HPNTSCZA
16-010723,N,1/15/16 13:37,2,1/15/16 13:40,1/15/16 15:34,D11.00,MOTOR VEHICLE ACCIDENT; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,3,W103,FALSE,156 BROADWAY;  ,JERSEY CITY,40.73725128,-74.07506561,1,S5HPNTSCZA
16-010723,N,1/15/16 13:37,2,1/15/16 13:40,1/15/16 15:34,D11.00,MOTOR VEHICLE ACCIDENT; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,3,N303,TRUE,156 BROADWAY;  ,JERSEY CITY,40.73725128,-74.07506561,1,S5HPNTSCZA
16-010725,W,1/15/16 13:40,2,1/15/16 13:42,1/15/16 15:30,C24.20,THEFT OTHER PROP; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE,PH,3,W303,TRUE,102 CORBIN AVE; B7  ,JERSEY CITY,40.73378754,-74.07054901,1,S5HPNTSCZA
16-010726,N,1/15/16 13:42,2,1/15/16 13:43,1/15/16 13:42,J26.00,OTHER ADMIN POLICE ACTIVITY; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,9,N202,TRUE,KENNEDY BLVD & JOURNAL SQ;  ,JERSEY CITY,40.73180008,-74.06417847,1,SX
16-010728,N,1/15/16 13:45,2,1/15/16 13:46,1/15/16 13:46,J12.00,COURT OFF AT; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,9,N302,TRUE,365 SUMMIT AVE;  ,JERSEY CITY,40.72822189,-74.06312561,1,S5HPNTSCZA
16-010729,N,1/15/16 13:47,2,1/15/16 13:48,1/15/16 13:47,D11.00,MOTOR VEHICLE ACCIDENT; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,3,NK98E,TRUE,40 JOURNAL SQ;  ,JERSEY CITY,40.73130035,-74.06442261,1,S5HPNTSCZA
16-010730,W,1/15/16 13:47,2,1/15/16 13:49,1/15/16 13:48,T10.00,TRAFFIC STOP; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,MVS,9,WDTAIL,TRUE,MONTGOMERY (MONTGOMERY ST) & JORDAN AVE;  ,JERSEY CITY,40.7244606,-74.06620789,1,SX
16-010731,W,1/15/16 13:49,2,1/15/16 13:57,1/15/16 15:23,B23.00,OTHER INTER/CONFLICT; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,5,W503,TRUE,75 OAK ST; A  ,JERSEY CITY,40.71403885,-74.07759857,1,S5HPNTSCZA
16-010732,S,1/15/16 13:51,2,1/15/16 13:53,1/15/16 14:28,C29.00,BURG ALARM RESIDENTIAL PROP; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,4,S102,TRUE,14 STEGMAN CT;  ,JERSEY CITY,40.70969391,-74.09341431,1,S5HPNTSCZA
16-010733,S,1/15/16 13:52,2,1/15/16 13:54,1/15/16 15:40,C24.00,THEFT OTHER PROP; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,911,6,S103,TRUE,325 WEST SIDE AVE;  ,JERSEY CITY,40.7134552,-74.08971405,1,S5HPNTSC-A
16-010734,S,1/15/16 14:02,2,1/15/16 14:03,1/15/16 14:02,J19.00,SCHOOL CROSSING; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,9,SOC1A,TRUE,BOSTWICK AVE & BERGEN AVE;  ,JERSEY CITY,40.70962906,-74.08424377,1,SX
16-010735,S,1/15/16 14:02,2,1/15/16 14:05,1/15/16 15:42,D24.00,OTHER PARKING VIOLATION; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,7,S503,TRUE,36 NEW ST;  ,JERSEY CITY,40.69777679,-74.08992767,1,S5HPNTSCZA
16-010736,S,1/15/16 14:03,2,1/15/16 14:04,1/15/16 14:03,J19.00,SCHOOL CROSSING; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,9,SOC1B,TRUE,OLD BERG (OLD BERGEN RD) & GATES AVE;  ,JERSEY CITY,40.69157028,-74.09699249,2,SX
16-010738,S,1/15/16 14:04,2,1/15/16 14:05,1/15/16 14:04,J19.00,SCHOOL CROSSING; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,9,SOC1C,TRUE,OLD BERG (OLD BERGEN RD) & LEMBECK AVE;  ,JERSEY CITY,40.69561005,-74.0938797,1,SX
16-010739,S,1/15/16 14:05,2,1/15/16 14:06,1/15/16 14:06,J19.00,SCHOOL CROSSING; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,9,S202,TRUE,BAYVIEW AVE & MARTIN LUTHER KING DR;  ,JERSEY CITY,40.70721817,-74.08328247,1,SX
16-010740,S,1/15/16 14:10,2,1/15/16 14:11,1/15/16 14:10,J19.00,SCHOOL CROSSING; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,9,S402,TRUE,OCEAN AVE & CLAREMONT AVE;  ,JERSEY CITY,40.70790863,-74.07736206,1,SX
16-010744,W,1/15/16 14:17,2,1/15/16 14:18,1/15/16 14:18,J29.00,OFF ON INVESTIGATION; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,9,W602,TRUE,220 VIRGINIA AVE;  ,JERSEY CITY,40.71595001,-74.08417511,1,S5HPNTSCZA
16-010746,N,1/15/16 14:19,2,1/15/16 14:20,1/15/16 14:19,J19.00,SCHOOL CROSSING; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,9,N202,TRUE,ST PAULS (ST PAULS AVE) & HURON AVE;  ,JERSEY CITY,40.73752975,-74.0618515,1,SX
16-010748,N,1/15/16 14:20,2,1/15/16 14:21,1/15/16 14:20,J19.00,SCHOOL CROSSING; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,9,N402,TRUE,SUMMIT (SUMMIT AVE) & LAIDLAW AVE;  ,JERSEY CITY,40.73934174,-74.05761719,1,SX
16-010752,N,1/15/16 14:22,2,1/15/16 14:23,1/15/16 14:23,J19.00,SCHOOL CROSSING; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,9,NP27,TRUE,KENNEDY BLVD & VAN WINKLE AVE;  ,JERSEY CITY,40.73612976,-74.06300354,1,SX
16-010755,E,1/15/16 14:31,2,1/15/16 14:33,1/15/16 14:36,C18.20,BURGLARY RESIDENTIAL PROP; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE,911,3,E502,FALSE,72 WOODWARD ST;  ,JERSEY CITY,40.71046829,-74.0680542,1,S5HPNTSCZA
16-010755,E,1/15/16 14:31,2,1/15/16 14:33,1/15/16 14:36,C18.20,BURGLARY RESIDENTIAL PROP; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE,911,3,E402,FALSE,72 WOODWARD ST;  ,JERSEY CITY,40.71046829,-74.0680542,1,S5HPNTSCZA
16-010755,E,1/15/16 14:31,2,1/15/16 14:33,1/15/16 14:36,C18.20,BURGLARY RESIDENTIAL PROP; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE,911,3,E202,TRUE,72 WOODWARD ST;  ,JERSEY CITY,40.71046829,-74.0680542,1,S5HPNTSCZA
16-010756,E,1/15/16 14:31,2,1/15/16 14:32,1/15/16 14:31,J19.00,SCHOOL CROSSING; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,9,E602,TRUE,6TH ST & ERIE ST;  ,JERSEY CITY,40.72533035,-74.04374695,1,SX
16-010758,E,1/15/16 14:37,2,1/15/16 14:38,1/15/16 14:49,D16.00,SIGN DOWN/TRAFFIC LIGHT OUT OF ORDER; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,7,E202,TRUE,MONTGOMERY (MONTGOMERY ST) & BALDWIN AVE;  ,JERSEY CITY,40.7237587,-74.06419373,1,SX
16-010759,W,1/15/16 14:37,2,1/15/16 14:39,1/1/01 0:00,B11.00,TERRORISTIC THREATS; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,2,WSGT,FALSE,20 TONNELE AVE; 2E  ,JERSEY CITY,40.73093033,-74.06703949,1,S5HPNTSCZA
16-010759,W,1/15/16 14:37,2,1/15/16 14:39,1/1/01 0:00,B11.00,TERRORISTIC THREATS; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,2,W202,TRUE,20 TONNELE AVE; 2E  ,JERSEY CITY,40.73093033,-74.06703949,1,S5HPNTSCZA
16-010760,W,1/15/16 14:38,2,1/15/16 14:39,1/1/01 0:00,G13.00,USE/SALE OF DRUGS; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,6,WP4A,TRUE,UNION ST & BERGEN AVE;  ,JERSEY CITY,40.71577072,-74.07904053,1,SX
16-010761,N,1/15/16 14:39,2,1/15/16 14:41,1/15/16 14:40,G19.00,WEAPON PERSON WITH; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,2,N303,FALSE,2 PALISADE AVE;  ,JERSEY CITY,40.72991562,-74.05512238,1,S5HPNTSCZA
16-010761,N,1/15/16 14:39,2,1/15/16 14:41,1/15/16 14:40,G19.00,WEAPON PERSON WITH; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,2,N103,FALSE,2 PALISADE AVE;  ,JERSEY CITY,40.72991562,-74.05512238,1,S5HPNTSCZA
16-010761,N,1/15/16 14:39,2,1/15/16 14:41,1/15/16 14:40,G19.00,WEAPON PERSON WITH; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,2,WSGT,FALSE,2 PALISADE AVE;  ,JERSEY CITY,40.72991562,-74.05512238,1,S5HPNTSCZA
16-010761,N,1/15/16 14:39,2,1/15/16 14:41,1/15/16 14:40,G19.00,WEAPON PERSON WITH; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,2,NK98E,FALSE,2 PALISADE AVE;  ,JERSEY CITY,40.72991562,-74.05512238,1,S5HPNTSCZA
16-010761,N,1/15/16 14:39,2,1/15/16 14:41,1/15/16 14:40,G19.00,WEAPON PERSON WITH; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,2,NK95E,FALSE,2 PALISADE AVE;  ,JERSEY CITY,40.72991562,-74.05512238,1,S5HPNTSCZA
16-010761,N,1/15/16 14:39,2,1/15/16 14:41,1/15/16 14:40,G19.00,WEAPON PERSON WITH; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,2,NBUR,FALSE,2 PALISADE AVE;  ,JERSEY CITY,40.72991562,-74.05512238,1,S5HPNTSCZA
16-010761,N,1/15/16 14:39,2,1/15/16 14:41,1/15/16 14:40,G19.00,WEAPON PERSON WITH; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,2,N503,FALSE,2 PALISADE AVE;  ,JERSEY CITY,40.72991562,-74.05512238,1,S5HPNTSCZA
16-010761,N,1/15/16 14:39,2,1/15/16 14:41,1/15/16 14:40,G19.00,WEAPON PERSON WITH; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,2,NPC,TRUE,2 PALISADE AVE;  ,JERSEY CITY,40.72991562,-74.05512238,1,S5HPNTSCZA
16-010761,N,1/15/16 14:39,2,1/15/16 14:41,1/15/16 14:40,G19.00,WEAPON PERSON WITH; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,2,NDHS,FALSE,2 PALISADE AVE;  ,JERSEY CITY,40.72991562,-74.05512238,1,S5HPNTSCZA
16-010772,W,1/15/16 14:57,2,1/15/16 14:59,1/1/01 0:00,C18.00,BURGLARY RESIDENTIAL PROP; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,911,6,WP11,TRUE,206 MONTICELLO AVE;  ,JERSEY CITY,40.72168732,-74.06977081,1,S5HPNTSCZA
16-010774,S,1/15/16 15:03,3,1/15/16 15:04,1/15/16 15:26,D11.00,MOTOR VEHICLE ACCIDENT; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,911,3,S503,TRUE,100 GRANT AVE;  ,JERSEY CITY,40.70964813,-74.08156586,1,S5HPNTSCZA
16-010775,N,1/15/16 15:05,3,1/15/16 15:06,1/15/16 15:34,D11.00,MOTOR VEHICLE ACCIDENT; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,3,N103,TRUE,706 NEWARK AVE;  ,JERSEY CITY,40.7350769,-74.06033325,1,S5HPNTSCZA
16-010782,S,1/15/16 15:12,3,1/15/16 15:15,1/15/16 15:18,G19.00,WEAPON PERSON WITH; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,2,S303,FALSE,239 BERGEN AVE;  ,JERSEY CITY,40.71017838,-74.08390808,1,S5HPNTSCZA
16-010782,S,1/15/16 15:12,3,1/15/16 15:15,1/15/16 15:18,G19.00,WEAPON PERSON WITH; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,2,S103,TRUE,239 BERGEN AVE;  ,JERSEY CITY,40.71017838,-74.08390808,1,S5HPNTSCZA
16-010788,E,1/15/16 15:16,3,1/15/16 15:18,1/15/16 15:57,C16.00,TRESPASS; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,6,E303,TRUE,100 14TH ST;  ,JERSEY CITY,40.73136139,-74.03610992,1,S5HPNTSCZA
16-010793,S,1/15/16 15:21,3,1/15/16 15:24,1/15/16 15:43,D25.00,ABANDONED/APPARENT STOLEN; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,7,S303,TRUE,134 GARFIELD AVE; B  ,JERSEY CITY,40.68983459,-74.09564209,1,S5HPNTSCZA
16-010794,W,1/15/16 15:21,3,1/15/16 15:22,1/15/16 16:11,G13.00,USE/SALE OF DRUGS; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,6,W303,TRUE,608 BRAMHALL AVE;  ,JERSEY CITY,40.71627045,-74.07658386,1,S5HPNTSCZA
16-010797,E,1/15/16 15:29,3,1/15/16 15:30,1/15/16 15:30,T10.00,TRAFFIC STOP; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,MVS,9,C581,FALSE,2ND ST & MARIN BLVD;  ,JERSEY CITY,40.72222137,-74.04089355,1,SX
16-010797,E,1/15/16 15:29,3,1/15/16 15:30,1/15/16 15:30,T10.00,TRAFFIC STOP; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,MVS,9,ESGT,TRUE,2ND ST & MARIN BLVD;  ,JERSEY CITY,40.72222137,-74.04089355,1,SX
16-010797,E,1/15/16 15:29,3,1/15/16 15:30,1/15/16 15:30,T10.00,TRAFFIC STOP; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,MVS,9,E103,FALSE,2ND ST & MARIN BLVD;  ,JERSEY CITY,40.72222137,-74.04089355,1,SX
16-010798,N,1/15/16 15:31,3,1/15/16 15:33,1/15/16 15:32,J29.00,OFF ON INVESTIGATION; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,9,NDTAIL,TRUE,35 MILTON AVE;  ,JERSEY CITY,40.74898529,-74.05255127,1,S5HPNTSCZA
16-010804,W,1/15/16 15:37,3,1/15/16 15:39,1/15/16 16:36,B22.00,PREVENT BREACH OF PEACE; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,7,W203,TRUE,112 STUYVESANT AVE;  ,JERSEY CITY,40.73085403,-74.07321167,1,S5HPNTSCZA
16-010806,W,1/15/16 15:38,3,1/15/16 15:40,1/15/16 16:16,B18.00,TENANT/LANDLORD DISPUTE; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,5,WP3A,TRUE,12 ROOSEVELT AVE;  ,JERSEY CITY,40.72035217,-74.08227539,1,S5HPNTSCZA
16-010807,W,1/15/16 15:39,3,1/15/16 15:43,1/1/01 0:00,B11.00,TERRORISTIC THREATS; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,911,2,W303,TRUE,749 440 (ST HWY 440);  ,JERSEY CITY,40.72244263,-74.09185028,2,S5HPNTSC-A
16-010811,W,1/15/16 15:42,3,1/15/16 15:47,1/1/01 0:00,B21.00,MERCHANT/CUSTOMER DISPUTE; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,5,W303,TRUE,396 WEST SIDE AVE;  ,JERSEY CITY,40.71473694,-74.08783722,1,S5HPNTSC-A
16-010816,S,1/15/16 15:48,3,1/15/16 15:51,1/15/16 16:23,C14.00,DAMAGE MOTOR VEHICLE; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,6,S203,TRUE,395 STEGMAN PKWY;  ,JERSEY CITY,40.71038055,-74.09235382,1,S5HPNTSCZA
16-010818,N,1/15/16 15:50,3,1/15/16 15:52,1/15/16 16:17,D11.20,MOTOR VEHICLE ACCIDENT; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE,PH,3,N503,TRUE,SECAUCUS RD & TONNELE AVE;  ,JERSEY CITY,40.76013947,-74.05104065,2,SX
16-010819,E,1/15/16 15:52,3,1/15/16 15:57,1/15/16 16:09,F16.00,SUSPICIOUS PERSON/CONDITION; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,911,3,E503,TRUE,72 MONTGOMERY ST; APT   307  ,JERSEY CITY,40.71689987,-74.03730011,1,S5HPNTSCZA
16-010822,N,1/15/16 15:56,3,1/15/16 16:01,1/1/01 0:00,B11.00,TERRORISTIC THREATS; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,3,N403,TRUE,514 NEWARK AVE;  ,JERSEY CITY,40.73022461,-74.05538177,1,S5HPNTSCZA
16-010823,E,1/15/16 16:00,3,1/15/16 16:02,1/15/16 16:42,D11.00,MOTOR VEHICLE ACCIDENT; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,911,3,E203,TRUE,MONMOUTH ST & NEWARK AVE;  ,JERSEY CITY,40.72314835,-74.04918671,1,SX
16-010829,N,1/15/16 16:08,3,1/15/16 16:10,1/15/16 16:23,F13.00,HAZARDOUS CONDITION; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,2,N203,TRUE,PATERSON PLANK RD & HOBOKEN CITY LINE;  ,JERSEY CITY,0,0,0,NOT FOUND
16-010835,N,1/15/16 16:15,3,1/15/16 16:19,1/15/16 16:46,C14.00,DAMAGE MOTOR VEHICLE; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,6,NK95E,TRUE,3423 JFK (KENNEDY BLVD);  ,JERSEY CITY,40.74917984,-74.05538177,1,S5HPNTSC-A
16-010836,S,1/15/16 16:16,3,1/15/16 16:17,1/1/01 0:00,E11.00,DISORDERLY CONDUCT; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,7,S603,TRUE,GARFIELD AVE & CATOR AVE;  ,JERSEY CITY,40.6941185,-74.08821869,1,SX
16-010838,N,1/15/16 16:19,3,1/15/16 16:22,1/15/16 16:46,B23.00,OTHER INTER/CONFLICT; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,5,N103,TRUE,1179 SUMMIT AVE; (3 FL),JERSEY CITY,40.75544357,-74.04597473,1,S5HPNTSCZA
16-010839,E,1/15/16 16:20,3,1/15/16 16:23,1/15/16 17:21,C25.00,SHOPLIFTING; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,4,E503,TRUE,30 MALL DR W;  ,JERSEY CITY,40.72694778,-74.0386734,1,S5HPNTSCZA
16-010841,N,1/15/16 16:23,3,1/15/16 16:24,1/15/16 16:24,J17.00,DISTRICT MISSION / ASSIGNMENT; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,9,N603,TRUE,282 CENTRAL AVE;  ,JERSEY CITY,40.74448395,-74.05031586,1,S5HPNTSCZA
16-010843,S,1/15/16 16:25,3,1/15/16 16:26,1/15/16 16:26,J32.00,PSN - PROJECT SAFE NEIGHBORHOODS; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,9,SMLK1C,FALSE,361 MLK (MARTIN LUTHER KING DR);  ,JERSEY CITY,40.71094894,-74.07910156,1,S5HP-TSC-A
16-010843,S,1/15/16 16:25,3,1/15/16 16:26,1/15/16 16:26,J32.00,PSN - PROJECT SAFE NEIGHBORHOODS; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,9,SMLK1B,FALSE,361 MLK (MARTIN LUTHER KING DR);  ,JERSEY CITY,40.71094894,-74.07910156,1,S5HP-TSC-A
16-010843,S,1/15/16 16:25,3,1/15/16 16:26,1/15/16 16:26,J32.00,PSN - PROJECT SAFE NEIGHBORHOODS; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,9,SMLK1A,TRUE,361 MLK (MARTIN LUTHER KING DR);  ,JERSEY CITY,40.71094894,-74.07910156,1,S5HP-TSC-A
16-010844,W,1/15/16 16:28,3,1/15/16 16:29,1/15/16 16:28,J26.00,OTHER ADMIN POLICE ACTIVITY; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,9,W603,TRUE,365 SUMMIT AVE;  ,JERSEY CITY,40.72822189,-74.06312561,1,S5HPNTSCZA
16-010847,E,1/15/16 16:29,3,1/15/16 16:30,1/15/16 16:30,D11.00,MOTOR VEHICLE ACCIDENT; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,3,E403,TRUE,MONMOUTH ST & CHRISTOPHER COLUMBUS DR;  ,JERSEY CITY,40.72161102,-74.04972076,1,SX
